var_0,var_1,var_2,quality
13,46,45,60.919819342221345
37,8,45,11.305678955717807
37,8,44,11.305678955717807
37,8,47,11.305678955717807
45,26,46,36.121489894392724
14,48,18,23.900610977148432
25,22,33,30.60573022115195
16,15,47,20.938491318894666
32,4,38,5.717076190163751
19,5,34,7.098102454586803
39,16,23,22.38626450593504
46,29,29,39.02052745903079
47,26,5,5.890279629015307
7,19,40,26.464823881879806
6,27,37,37.53281105407744
45,35,12,15.650176589199159
51,6,33,8.44999638456852
49,41,31,41.732447896088715
36,11,20,15.39097162340951
49,41,37,50.17189825546939
33,44,25,33.4576900035561
51,34,32,43.05706932511077
44,52,17,22.511612780889333
51,34,31,41.766423253992095
15,8,22,11.305594207478974
37,26,4,4.407939962835598
23,13,28,18.14793269146918
20,45,47,62.18785685100497
20,39,27,36.34733218791116
50,52,39,52.94214670089968
50,52,38,51.48581881972334
18,50,50,67.7675019595911
45,23,34,32.090130486041545
45,23,37,32.089381930106335
34,10,47,13.979663222560283
43,29,51,40.32054220012408
15,50,33,44.57314847942221
41,32,21,28.14622313103326
25,28,9,11.276912654906864
36,27,31,37.593704550473376
11,9,37,12.591671721550751
43,40,25,33.4576900035561
45,26,44,36.121486049093264
17,52,23,30.76697599895331
17,28,27,35.98250213698451
17,52,21,28.14622313103326
22,21,15,19.68526130484939
17,28,28,37.58532974175041
33,30,29,38.65486161781384
22,21,16,20.997841009297105
49,4,28,5.717076279495899
3,14,29,19.62145606196932
46,39,23,30.76697599895331
10,40,34,46.06599698712813
11,11,47,15.38790114145844
9,35,49,48.635327470109246
30,48,9,11.276912654906864
49,45,31,41.732447896088715
14,12,18,16.824925230782974
30,7,4,4.400749237833439
5,40,50,55.66425529103938
36,15,28,20.938559841945963
4,29,27,36.16913705543544
20,40,30,40.38215028692495
25,20,4,4.407939962835598
48,14,52,19.621437762669267
8,12,15,16.635835350115027
8,12,14,16.535838848085273
52,47,42,57.080569828104245
17,20,43,27.79233321497763
34,20,38,27.792334688152003
27,30,19,25.214035801652425
43,19,50,26.464823577750515
28,11,8,9.797768234527982
27,30,10,12.620147688152946
5,45,28,37.58532974175041
26,12,43,16.83190666085367
44,50,12,15.650176589199159
11,12,17,16.80031160169063
20,3,9,4.39562276579519
10,49,24,32.126696921750955
37,12,8,9.99960770232176
18,45,36,48.79344321816451
27,36,17,22.511612780889333
18,45,30,40.38215028692495
49,23,19,25.237986194185726
18,45,38,51.48581881972334
7,39,31,41.732447896088715
15,10,46,13.979663222589641
10,26,4,4.407939962835598
11,14,19,19.624561373000383
37,28,13,16.932372620367673
36,11,29,15.387898604783892
5,16,4,4.407939962835598
11,5,40,7.098102453634379
22,12,30,16.831905566373546
16,6,22,8.4499810314127
18,36,11,14.128249123904235
39,32,3,3.2142759114585013
8,25,48,34.817267009622
11,7,9,9.465347916896915
49,23,11,14.128249123904235
43,11,34,15.387901103694123
26,6,8,8.144971591431823
42,31,41,43.096348292485196
43,11,30,15.387898604783892
19,34,6,7.1556849380709595
26,52,12,15.650176589199159
26,6,3,3.0290330479209144
